submitted_at	order_id	customer_id	sales_rep_id	sales_rep_ssn	sales_rep_first_name	sales_rep_last_name	sales_rep_address	sales_rep_city	sales_rep_state	sales_rep_zip	shipping_address_attention	shipping_address_address	shipping_address_city	shipping_address_state	shipping_address_zip	product_id	product_quantity	product_sold_price
1543078800	000011c4-6881-496f-a775-047f81320642	7ff1172c-6b11-48f2-9647-47fb04302c93	64748eb1-3898-49bd-8861-dd49de1c6adf	304-60-9930	Niklaus	Knox	PO Box 529	Grand Prairie	TX	76484	Arden Mcdonald	35 Ortez Lane W	Santa Ana	CA	94268	668b2c1f-d76e-4bf0-82bb-c7d5776524a4	800	111.52
1543078800	000011c4-6881-496f-a775-047f81320642	7ff1172c-6b11-48f2-9647-47fb04302c93	64748eb1-3898-49bd-8861-dd49de1c6adf	304-60-9930	Niklaus	Knox	PO Box 529	Grand Prairie	TX	76484	Arden Mcdonald	35 Ortez Lane W	Santa Ana	CA	94268	699fcfe8-ce60-42c9-9d0f-728df3e48d70	800	105.95
1543078800	000011c4-6881-496f-a775-047f81320642	7ff1172c-6b11-48f2-9647-47fb04302c93	64748eb1-3898-49bd-8861-dd49de1c6adf	304-60-9930	Niklaus	Knox	PO Box 529	Grand Prairie	TX	76484	Arden Mcdonald	35 Ortez Lane W	Santa Ana	CA	94268	7a41323a-560f-4e34-aba6-995e2325f95e	200	100.37
1543078800	000011c4-6881-496f-a775-047f81320642	7ff1172c-6b11-48f2-9647-47fb04302c93	64748eb1-3898-49bd-8861-dd49de1c6adf	304-60-9930	Niklaus	Knox	PO Box 529	Grand Prairie	TX	76484	Arden Mcdonald	35 Ortez Lane W	Santa Ana	CA	94268	8d809e13-fdc5-4d15-9271-953750f6d592	900	111.52
1543078800	000011c4-6881-496f-a775-047f81320642	7ff1172c-6b11-48f2-9647-47fb04302c93	64748eb1-3898-49bd-8861-dd49de1c6adf	304-60-9930	Niklaus	Knox	PO Box 529	Grand Prairie	TX	76484	Arden Mcdonald	35 Ortez Lane W	Santa Ana	CA	94268	95cbadca-cf90-4b8a-a134-2976f6ba6df8	700	105.95
1543078800	000011c4-6881-496f-a775-047f81320642	7ff1172c-6b11-48f2-9647-47fb04302c93	64748eb1-3898-49bd-8861-dd49de1c6adf	304-60-9930	Niklaus	Knox	PO Box 529	Grand Prairie	TX	76484	Arden Mcdonald	35 Ortez Lane W	Santa Ana	CA	94268	a8fbcfea-4352-4c5a-af8b-c8623258b4f8	900	110.41
1543078800	000011c4-6881-496f-a775-047f81320642	7ff1172c-6b11-48f2-9647-47fb04302c93	64748eb1-3898-49bd-8861-dd49de1c6adf	304-60-9930	Niklaus	Knox	PO Box 529	Grand Prairie	TX	76484	Arden Mcdonald	35 Ortez Lane W	Santa Ana	CA	94268	bc93ed89-bb15-4e46-a110-a5878e46ccf6	700	100.37
1543078800	000011c4-6881-496f-a775-047f81320642	7ff1172c-6b11-48f2-9647-47fb04302c93	64748eb1-3898-49bd-8861-dd49de1c6adf	304-60-9930	Niklaus	Knox	PO Box 529	Grand Prairie	TX	76484	Arden Mcdonald	35 Ortez Lane W	Santa Ana	CA	94268	e26839a2-44fd-4003-a06b-faf6a2dff077	900	105.95
1543078800	000011c4-6881-496f-a775-047f81320642	7ff1172c-6b11-48f2-9647-47fb04302c93	64748eb1-3898-49bd-8861-dd49de1c6adf	304-60-9930	Niklaus	Knox	PO Box 529	Grand Prairie	TX	76484	Arden Mcdonald	35 Ortez Lane W	Santa Ana	CA	94268	e672483e-57a8-434a-bc42-ecf827c8a8d4	200	116.54
1537167600	0000f6b0-ab09-4df0-818a-3fc500f683a3	da4cb7c5-062b-4cda-b3af-5f9a711cfced	9ef74d02-fe6d-42f3-b638-29e67bbfa20e	337-30-1919	Ruby	Sanford	141 Bosie Run N	Richmond	CA	90041	Novah Mclean	903  Merry Road	Daly City	CA	95569	e26839a2-44fd-4003-a06b-faf6a2dff077	400	102.33
1530619200	00010ecb-682d-4d36-823c-394a9abc5237	e29961f4-bf78-4c19-8ec1-219246671d4e	09e2ca9b-a241-4f63-a6a1-5bf63aeeb870	446912278	Cayson	Wiggins	607 S Woodridge Drive	Vacaville	CA	95851	Gregory English	105 W Winchell Court	Tyler	TX	77483	668b2c1f-d76e-4bf0-82bb-c7d5776524a4	100	97.23
1530619200	00010ecb-682d-4d36-823c-394a9abc5237	e29961f4-bf78-4c19-8ec1-219246671d4e	09e2ca9b-a241-4f63-a6a1-5bf63aeeb870	446912278	Cayson	Wiggins	607 S Woodridge Drive	Vacaville	CA	95851	Gregory English	105 W Winchell Court	Tyler	TX	77483	699fcfe8-ce60-42c9-9d0f-728df3e48d70	500	92.37
1530619200	00010ecb-682d-4d36-823c-394a9abc5237	e29961f4-bf78-4c19-8ec1-219246671d4e	09e2ca9b-a241-4f63-a6a1-5bf63aeeb870	446912278	Cayson	Wiggins	607 S Woodridge Drive	Vacaville	CA	95851	Gregory English	105 W Winchell Court	Tyler	TX	77483	8d809e13-fdc5-4d15-9271-953750f6d592	200	97.23
1522627200	00014162-6be1-4de9-8179-9ac1d8339eb4	754233d5-052b-4991-b0d6-6eddaad93f3b	40da77a9-99b7-425f-81bd-0a775e0d55ff	262347883	Ellianna	Gross	PO Box 506	Sunnyvale	CA	93461	Maliyah Hansen	656 Melody Avenue S	Thornton	CO	80447	7a41323a-560f-4e34-aba6-995e2325f95e	900	88.36
