"submittedAt","orderId","customerId","salesRepId","salesRepSsn","salesRepFirstName","salesRepLastName","salesRepAddress","salesRepCity","salesRepState","salesRepZip","shippingAddressAttention","shippingAddressAddress","shippingAddressCity","shippingAddressState","shippingAddressZip","productId","productQuantity","productSoldPrice"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","668b2c1f-d76e-4bf0-82bb-c7d5776524a4","700","97.23"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","699fcfe8-ce60-42c9-9d0f-728df3e48d70","200","92.37"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","7a41323a-560f-4e34-aba6-995e2325f95e","100","87.50"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","7b547a10-e804-48e1-ad90-1f946cee659c","600","97.23"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","8d809e13-fdc5-4d15-9271-953750f6d592","1000","97.23"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","95cbadca-cf90-4b8a-a134-2976f6ba6df8","600","92.37"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","a8fbcfea-4352-4c5a-af8b-c8623258b4f8","1000","96.25"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","a990d79b-4957-42fc-8e42-20ceb1fd1259","100","106.95"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","bc93ed89-bb15-4e46-a110-a5878e46ccf6","800","87.50"
"1565456400","00003356-11bf-41e7-9dc6-5eccf38a22ff","58ca2143-1cab-4d7e-a94e-90ddbce4a762","9ddf6d48-6314-48eb-8107-f98dd3d7bd46","675-33-6807","Barrett","Crosby","PO Box 95","Chandler","AZ","85623","Sage Leblanc","845 Berkshire Place","Tampa","FL","32260","e26839a2-44fd-4003-a06b-faf6a2dff077","200","92.37"
